attribute;value1;value2;value3;value4;value5;value6;value7;value8;value9;value10;value11;value12;value13;value14;value15;value16;value17;value18;value19;value20;value21;value22;value23;value24;value25;value26;value27;value28;value29;value30;value31;value32;value33;value34;value35;value36;value37;value38;value39;value40;value41;value42;value43;value44;value45;value46;value47;value48;value49;value50;value51;value52;value53;value54;value55;value56;value57;value58;value59;value60;value61;value62;value63;value64;value65;value66;value67;value68;value69;value70;value71;value72;value73;value74;value75;value76;value77;value78;value79;value80;value81;value82;value83;value84;value85;value86;value87;value88;value89;value90;value91;value92;value93;value94;value95;value96;value97;value98;value99;value100;value101;value102;value103;value104;value105;value106;value107;value108;value109;value110;value111;value112;value113;value114;value115;value116;value117;value118;value119;value120;value121;value122;value123;value124;value125;value126;value127;value128;value129;value130;value131;value132;value133;value134;value135;value136;value137;value138;value139;value140
technology;water_repellent;moisture-wicking;dri-release;dryflight;polartec;dryflight_water-repellent;warmflight;ecovero;upf_sun_protection;insulated;packable;water_resistant;chlorine_resistant;upf_50_sun_protection;waterproof;upf_40_sun_protection;wind_resistant;biofuze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prod_collection;cosmic_echoes_2;adventure_division;king_stingray;backbeach;summerside;sun_love_'n_surf;since_73;crystal_tides;sol_del_sur;destination;radical_times;waterman;saturn;no_vacancy;212_cloud_wash_stm;originals;regional_tees;core;mainline;element_x_timber;fundamental_outdoor;element_x_smokey_bear;element_x_joe_o'donnell;element_x_nature_calls;no_fixed_address;still_filthy;essentials;return_to_paradise;trip_around_the_sun;coral_gardeners;dj_javier;sage_vaughn;benjamin_jeanjean;andrew_pommier;ed_templeton;hawaii;roberto_rodriguez_redondo;ben_horton;va_sport_mens;elliot_routledge;sun_spell;it_was_all_a_dream;icons;lineguide;capsule;skateboarding;dna;alex_kopps;heat_wave;training;active;value_line;tigers_apprentice;namedrops;vacancy;ron_jon;i_sea_you;dmote;sid_tapia;its_now_cool;selects;forever_on_holiday;a_sunset_away;chloe_kim_signature_collection;injection_all_accounts;sportsline;sol_searcher;tropical_flow;og_roxy;element_x_amokey_bear;neutral_collection;waterman_classic;recession_collection;outdoor;lifestyle;youth;denim;va_sport_womens;must_haves;va+;perennial;waterman_essentials;new_color;sweet_tropic;flower_power;on_island_time;surf_capsule;highline;everyday;mercury;roxy_essentials;roxy_pro;summer_high;field_of_dreams;cast_a_spell;dream_state;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
closure;open_front;full_zip;button;half_zip;snap;quarter_zip;pullover;zip;hook;ties;tie_front;clip;snap;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fit;regular;loose;oversized;relaxed;snug;original;fitted;comfort;classic;modern;90s;boyfriend;crop;boxy;core;slim;standard;tailored;vintage;heritage;not_found;wide;muscle;flare;elastic;drop_shoulder;long;slouch;overshirt;jogger;straight;baggy;wide_leg;high_waist;mid_rise;carrot;biker;mid;high_rise;bodycon;tiered;easy;skate;a-line;bias;short;mid_length;open_front;wrap;performance;lo_tide;layback;scallop;boys;69;arch;dolman;raglan;hooded;off_shoulder;premium;tapered;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hood;no_hood;adjustable;fixed_hood;removable_hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
insulation;quilted;shell;padded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacket_length;medium;waist;hip;longline;cropped;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
leg_length;full_length;ankle_length;31_inseam;5_inseam;29_inseam;24.4_inseam;26_inseam;25.6_inseam;31.1_inseam;30_inseam;29.6_inseam;28.5_inseam;9_inseam;27.9_inseam;27.6_inseam;22.5_inseam;26.75_inseam;28.75_inseam;7_8th;29.8_inseam;mid_18_outseam;mid_19_outseam;short_leg;2.5_inseam;2.1_inseam;4.37_inseam;4.1_inseam;long_21_outseam;short_15_outseam;long_20_outseam;short_17_outseam;short_11.8_outseam;6_inseam;long_20.2_outseam;mid_17.3_outseam;short_14_outseam;long_21.8_outseam;4_inseam;2.25_inseam;3_inseam;3.5_inseam;short_13.5_outseam;mid_18.5_outseam;long_22_outseam;mid_19.5_outseam;short_14.7_outseam;short_11.6_outseam;short_13_outseam;short_10.4_outseam;26.1_inseam;short_length;short_16_outseam;short_12_outseam;2_inseam;mid_17.5_outseam;short_15.8_outseam;short_14.5_outseam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lining;brushed_fleece;polyester_fleece;cotton;jersey;brushed;polyester;sherpa;waffle;mesh;cotton_polyster_poplin;ripstop;flannel;taffeta;sherpa_fleece;quilted;tricot;mesh_brief;fleece;nylon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
neck;crew;scoop;boat;split;not_found;mock;straight;square;collar;v-neck;v-split;one_shoulder;off_shoulder;sweetheart;hood;halter;bandeau;flat_shirt_collar;plunge;open_front;turtle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pocket;chest_pocket;front_pocket;pouch_pocket;side_pocket;hand_pocket;welt_pocket;zip_pocket;front_vertical_pocket;front_patch_pocket;patch_pocket;flap_pocket;front_zip_pocket;hand_warmer_pocket;sleeve_pocket;inside_pocket;back_pocket;media_pocket;5_pocket;cargo_pocket;cell_phone_pocket;back_zip_pocket;phone_pocket;stash_pocket;side_mesh_pockets;coin_pocket;accessory_pocket;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reversible;no;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sleeve_length;long_sleeve;short_sleeve;three_quarter;cap_sleeve;sleeveless;straps;one_shoulder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
straps;adjustable;fixed;ties;convertible;adjustable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
waist;elastic;fixed_with_tie;fixed_with_button;fixed_with_snap;fixed;adjustable;high;tie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
waterproofing_level;5k;water_resistant;3k;waterproof_insert;8k;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dress_length;mini;midi;maxi;above_knee;short_leg_onesie;long_leg_onesie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
coverage;mid;full;skimpy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
padding;none;removable_cup_inserts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
support;low;medium;high;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
