style;category_1;parent_type_1;subtype_1;subtype_2;subtype_3;subtype_4;subtype_5;subtype_6;division_1;gender_1;age_1;fabric_main_1;fabric_subtype_1;season_use_1;activity_use_1;sustainability_1;sustainability_2;sustainability_3;sustainability_certification_1;sustainability_certification_2;technology_1;technology_2;technology_3;technology_4;prod_collection_1;mrkt_collection_1;accessories_straps_1;adjustable_1;attachment_system_1;backpack_size_1;buckle_1;closure_1;closure_2;compartments_1;compartments_2;construction_1;construction_2;construction_3;cuff_1;dimension_length_1;dimension_width_1;dimension_height_1;fabric_outer_1;fabric_palm_1;fit_1;fit_2;fit_3;frame_material_1;lens_size_1;gaiter_1;handles_1;handles_2;hood_1;insulation_1;insulation_2;insulation_level_1;insulation_technology_1;jacket_length_1;leg_length_1;lining_1;lining_2;lining_3;locks_1;made_in_1;neck_1;pocket_1;pocket_2;pocket_3;pocket_4;reversible_1;sandal_strap_1;seams_1;size_1;size_2;sleeve_length_1;sole_1;straps_1;straps_2;straps_3;thickness_1;uv_protection_1;vents_1;visor_1;volume_1;waist_1;warranty_1;waterproofing_level_1;waterproofing_technology_1;water-temp_1;weight_1;wetsuit_lining_1;wetsuit_lining_2;wetsuit_lining_3;wetsuit_neoprene_1;wetsuit_neoprene_2;wetsuit_neoprene_3;wetsuit_seam_1;wetsuit-entry_1;wheels_1;window_1;dress_length_1;coverage_1;coverage_2;padding_1;support_1;frame_size_1;shell_1;footwear_top_1;upper_material_1;insole_1;concave_1;case_shape_1;case_size_1;watch_strap_1;rocker_1;footwear_height_1;flex_rating_1;outsole_1;liner_1
ABBZT00520;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;men;adult;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABBZT00521;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;men;adult;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;loose;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABBZT00523;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABBZT00524;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABBZT00527;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABBZT00528;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABBZT00529;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABBZT00530;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABBZT00534;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABBZT00539;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABGW100117;clothing;t-shirt;t-shirt;long_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABGW100120;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABGW100121;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJBT00144;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJDK00107;clothing;t-shirt;t-shirt;long_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJDP00157;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJDP00159;clothing;t-shirt;t-shirt;long_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJDP00162;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJDP00163;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;cosmic_echoes_2;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJDP00168;clothing;t-shirt;t-shirt;long_sleeve;graphic;;;;billabong;boys;8-16_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJDS00151;clothing;t-shirt;t-shirt;long_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJFT00453;clothing;t-shirt;t-shirt;long_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJFT00454;clothing;t-shirt;t-shirt;long_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJFT00455;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJFT00456;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJFT00457;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJFT00460;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJFT00461;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJFT00462;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJFT00466;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJFT00472;clothing;t-shirt;t-shirt;three_quarter;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;three_quarter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJHA00268;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJHA00271;clothing;t-shirt;t-shirt;three_quarter;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;three_quarter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJJK00193;clothing;t-shirt;t-shirt;three_quarter;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;three_quarter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJJK00196;clothing;t-shirt;t-shirt;three_quarter;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;three_quarter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJJK00197;clothing;t-shirt;t-shirt;three_quarter;graphic;;;;billabong;girls;4-12_years;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;relaxed;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;three_quarter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJKD00236;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;water_repellent;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJKT00564;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;water_repellent;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJKT00572;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;water_repellent;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJKT00576;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;water_repellent;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJNP00437;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;water_repellent;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJNP00438;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;water_repellent;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJNP00443;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;water_repellent;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJNP00444;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;water_repellent;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJNP00445;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;water_repellent;;;;not_found;;;;;;;;;;;;;;;;;;;;oversized;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJNP00446;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;relaxed;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABJNP00447;clothing;t-shirt;t-shirt;short_sleeve;graphic;;;;billabong;women;adult;cotton;jersey;;;not_found;;;not_found;;not_found;;;;not_found;;;;;;;;;;;;;;;;;;;;relaxed;;;;;;;;;;;;;;;;;;;;crew;not_found;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
