style;name;color;season;image_url;division;gender;age;category;parent_type;subtype;activity_use;sustainability;;description
24a353511;rose arch regular ss;waa;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;100% Ring spun cotton^Mid Weight 180G 24/1 Jersey^Our regular tees are a true classic fit with relaxed shoulders and a wider neck rib^Front and Back soft hand screen print^Softened with a garment wash^Side seam flag label and interior heat transfer neck label
24a353512;sharp regular ss;sgg;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product Type :Fabric : yarn-dye stripe cotton jersey^Fit : Premium^Neck : Crew^Graphic : Chest embroidery art.^Trim/Patch : Billabong woven label
24a353513;desert flower regular ss;ofw;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;100% Ring spun cotton - Mid Weight 180G 24/1 Jersey,Our regular tees are a true classic fit with relaxed shoulders and a wider neck rib,Front soft hand screen print,Softened with a garment wash,Side seam flag label and interior heat transfer neck label
24a353514;so far regular ss;ssb;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Our regular tees are a true classic fit with relaxed shoulders and a wider neck rib. Front and back soft hand screen print. Softened with a garment wash. Side seam flag label and interior heat transfer neck label.
24a353515;formidable regular ss;wht;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product Type :Fabric : yarn-dye stripe cotton jersey^Fit : Premium^Neck : Crew^Graphic : Chest embroidery art.^Trim/Patch : Billabong woven label
24a353516;land to sea regular ss;rbr;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product Type :Fabric : yarn-dye stripe cotton jersey^Fit : Premium^Neck : Crew^Graphic : Chest embroidery art.^Trim/Patch : Billabong woven label
24a353517;morning haze regular ss;mnb;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;100% Ring spun cotton - Mid Weight 180G 24/1 Jersey,Our regular tees are a true classic fit with relaxed shoulders and a wider neck rib,Front soft hand screen print,Softened with a garment wash,Side seam flag label and interior heat transfer neck label
24a353518;double spread og ss;chi;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: OG Fit Conventional 20/1, 210g long sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353518;double spread og ss;ssb;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: OG Fit Conventional 20/1, 210g long sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353519;quadriple og ss;wht;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: OG Fit Conventional 20/1, 210g long sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353521;scenes regular ss;ofw;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Part of the Ty William Billabong gallery collection^Product type: Regular Fit Conventional 24/1, 180g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353521;scenes regular ss;ppa;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Part of the Ty William Billabong gallery collection^Product type: Regular Fit Conventional 24/1, 180g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353522;split the peak regular ss;ssb;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Part of the Ty William Billabong gallery collection^Product type: Regular Fit Conventional 24/1, 180g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353523;up the beach regular ss;crc;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Part of the Ty William Billabong gallery collection^Product type: Regular Fit Conventional 24/1, 180g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353527;bad dog og ss;cem;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: OG Fit Conventional 20/1, 210g long sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353527;bad dog og ss;mdb;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: OG Fit Conventional 20/1, 210g long sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353573;spec dotcom ss;nvy;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Part of the Spec73 collection^Product type: OG Fit Conventional 20/1, 210g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353573;spec dotcom ss;yel;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Part of the Spec73 collection^Product type: OG Fit Conventional 20/1, 210g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353574;spec 3d ss;blk;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: OG Fit Conventional 20/1, 210g long sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label, Spec trim pack
24a353576;spec 73 ss;dkf;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Part of the Spec73 collection^Product type: OG Fit Conventional 20/1, 210g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a363503;jaybay regular ls;ofw;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Regular Fit Conventional 24/1, 180g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a411507;boundary mock;aly;253;;billabong;men;adult;clothing;pullover;fleece;casual;;;Product Type:Half zip mock neck pullover^Additional Features:300gsm printed polar fleece. Zippered chest pocket. Elastic bungee cinch closure at waistband. Adventure Division logo labels.
24a411507;boundary mock;bk1;253;;billabong;men;adult;clothing;pullover;fleece;casual;;;Product Type:Half zip mock neck pullover^Additional Features:300gsm printed polar fleece. Zippered chest pocket. Elastic bungee cinch closure at waistband. Adventure Division logo labels.
24a411507;boundary mock;nvy;253;;billabong;men;adult;clothing;pullover;fleece;casual;;;Product Type:Half zip mock neck pullover^Additional Features:300gsm printed polar fleece. Zippered chest pocket. Elastic bungee cinch closure at waistband. Adventure Division logo labels.
24a411507;boundary mock;sib;253;;billabong;men;adult;clothing;pullover;fleece;casual;;;Product Type:Half zip mock neck pullover^Additional Features:300gsm printed polar fleece. Zippered chest pocket. Elastic bungee cinch closure at waistband. Adventure Division logo labels.
24a413503;boundary blocked mock;dup;253;;billabong;men;adult;clothing;pullover;fleece;casual;recycled;;Product Type:Half zip^Additional Features: polar fleece. Contrast Ripstop at top yoke. Elastic bungee cinch closure at waistband. Adventure Division logo labels.
24a413503;boundary blocked mock;san;253;;billabong;men;adult;clothing;pullover;fleece;casual;recycled;;Product Type:Half zip^Additional Features: polar fleece. Contrast Ripstop at top yoke. Elastic bungee cinch closure at waistband. Adventure Division logo labels.
24a413504;bad dog 3/4 mock;sae;253;;billabong;men;adult;clothing;pullover;fleece;casual;recycled;;Product Type:Half zip mock neck pullover^Additional Features:300gsm printed polar fleece. Zippered chest pocket. Elastic bungee cinch closure at waistband. Adventure Division logo labels.
24a413505;legacy po;grm;253;;billabong;men;adult;clothing;pullover;hoodie;casual;;;Part of the Spec73 collection^Product Type : Pullover sweatshirt^Fabric: Heavy weight 80%Cotton 20%Polyester blend^Cut and sew with pipping details^Branding on chest and sleeves.
24a413506;up the beach po;ofw;253;;billabong;men;adult;clothing;fleece_polar;hoodie;casual;;;Part of the Ty William Billabong gallery collection^Product Type : Pull over sweatshirt^Fabric : 60% COTTON / 40% POLYESTER^Fit : Core^Screen printed art on front and back, flag woven label at bottom hem
24a433590;otis flag arch ss;cha;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: OG Fit Conventional. 20/1, 210g short sleeve tee. Additional features: Softhand screen print, heat seal neck label, side seam flag label, Otis Carey trim package.
24a433592;otis treble ss;bmw0;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: OG Fit Conventional. 20/1, 210g short sleeve tee. Additional features: Softhand screen print, heat seal neck label, side seam flag label, Otis Carey trim package.
