style;division;gender;age;category;parent_type;subtype;activity_use;sustainability;sustainability_certification1;sustainability_certification2;fabric_main1;fabric_main2;fabric_main3;fabric_main4;fabric_main5;fabric_main6;fabric_subtype1;lining1;lining2;lining3;lining4;filling;padding_material;technology1;technology2;technology3;technology4;technology5;technology6;technology7;prod_collection;size;dimension_height1;dimension_length1;dimension_width1;dimension_height2;dimension_length2;dimension_width2;volume1;volume2;backpack_size;number_pocket_bag;straps1;straps2;straps3;straps4;visor;lens_tint1;lens_tint2;lens_tint3;lens_tint4;fit1;fit2;fit3;fit4;sleeve_length;leg_length;closure1;closure2;waist;pocket1;pocket2;pocket3;pocket4;pocket5;dress_length;hood;neck;reversible;denim_wash;print;footwear_height;outsole1;outsole2;insole;sole_type;top_shape1;top_shape2;top_shape3;top_shape4;bottom_shape1;bottom_shape2;bottom_shape3;bottom_shape4;bottom_shape5;bottom_shape6;coverage1;coverage2;bra_impact;padding;uv_protection;wetsuit_type;thickness;water-temp;wetsuit_technology1;wetsuit_technology2;wetsuit_technology3;wetsuit_technology4;wetsuit_seam1;wetsuit_seam2;wetsuit-entry;snow_activity;flex_rating;rocker;insulation_level;insulation_technology1;insulation_technology2;waterproofing_level1;waterproofing_technology1;Lumina Comments
EQYFT05113;quiksilver;men;adult;clothing;pullover;full_zip;casual;;;;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05114;quiksilver;men;adult;clothing;pullover;fleece;casual;;;;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;quarter_zip;pull_through;;side_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05115;quiksilver;men;adult;clothing;pullover;crew;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;banging_bees;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05120;quiksilver;men;adult;clothing;pullover;crew;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05121;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;pull_through;;;;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05122;quiksilver;men;adult;clothing;pullover;full_zip;casual;;;;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05123;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05124;quiksilver;men;adult;clothing;pullover;crew;casual;;;;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05125;quiksilver;men;adult;clothing;pullover;full_zip;casual;;;;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;sleeveless;;full_zip;;;chest_pocket;hand_pocket;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05126;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05127;quiksilver;men;adult;clothing;pullover;crew;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05128;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05131;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05132;quiksilver;men;adult;clothing;pullover;crew;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05133;quiksilver;men;adult;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05134;quiksilver;men;adult;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05135;quiksilver;men;adult;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05136;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05137;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05152;quiksilver;men;adult;clothing;pullover;crew;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05153;quiksilver;men;adult;clothing;pullover;fleece;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort;;;;long_sleeve;;quarter_zip;pull_through;;side_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05154;quiksilver;men;adult;clothing;pullover;crew;casual;;;;cotton_blend;polyester;;;;;fleece;;;;;;;;;;;;;;mercury;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05155;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton_blend;polyester;;;;;fleece;;;;;;;;;;;;;;mercury;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05156;quiksilver;men;adult;clothing;pullover;full_zip;casual;;;;cotton_blend;polyester;;;;;fleece;;;;;;;;;;;;;;mercury;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05157;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton_blend;polyester;;;;;fleece;;;;;;;;;;;;;;mercury;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05158;quiksilver;men;adult;clothing;pullover;crew;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05159;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05160;quiksilver;men;adult;clothing;pullover;full_zip;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05166;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton_blend;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05168;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05185;quiksilver;men;adult;clothing;pullover;crew;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;basic;;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05186;quiksilver;men;adult;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;;;;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT03945;roxy;girls;8-16_years;clothing;pullover;fleece;casual;;;;polyester;;;;;;polar_fleece;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;slim;;;;long_sleeve;;quarter_zip;pull_through;;;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04010;roxy;girls;8-16_years;clothing;pullover;thermal;casual;;;;stretch_polyester;viscose;;;;;;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04011;roxy;girls;8-16_years;clothing;pullover;sherpa;casual;;;;polyester;;;;;;sherpa;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;loose;;;long_sleeve;;snap;pull_through;;side_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04012;roxy;girls;8-16_years;clothing;pullover;full_zip;casual;;;;polyester;;;;;;polar_fleece;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;slim;;;;long_sleeve;;full_zip;;;side_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04013;roxy;girls;8-16_years;clothing;pullover;full_zip;casual;;;;polyester;;;;;;;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;slim;;;;long_sleeve;;full_zip;;;side_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04014;roxy;girls;8-16_years;clothing;pullover;full_zip;casual;;;;stretch_polyester;;;;;;waffle;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;classic;;;long_sleeve;;full_zip;;;side_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04019;roxy;girls;4-16_years;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04020;roxy;girls;4-16_years;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04021;roxy;girls;4-16_years;clothing;pullover;crew;casual;;;;cotton_blend;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04022;roxy;girls;4-16_years;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04023;roxy;girls;4-16_years;clothing;pullover;crew;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04024;roxy;girls;4-16_years;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;full_zip;;;;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04025;roxy;girls;4-16_years;clothing;pullover;oversized;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;boxy;;;;long_sleeve;;pull_through;;;;;;;;;;collar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04026;roxy;girls;4-16_years;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04027;roxy;girls;4-16_years;clothing;pullover;crew;casual;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04028;roxy;girls;4-16_years;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04031;roxy;girls;4-16_years;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;loose;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04032;roxy;girls;4-16_years;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04033;roxy;girls;4-16_years;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04655;roxy;women;adult;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;terry_fleece;;;;;;;warmflight_eco;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04664;roxy;women;adult;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;terry_fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04665;roxy;women;adult;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;terry_fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04816;roxy;women;adult;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;full_zip;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04825;roxy;women;adult;clothing;pullover;full_zip;casual;pfc_free;;;stretch_polyester;viscose;;;;;fleece;;;;;;;dryflight_water-repellent;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;side_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04855;roxy;women;adult;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;mfo_opco;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04899;roxy;women;adult;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;mfo_opco;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04967;roxy;women;adult;clothing;pullover;full_zip;casual;pfc_free;;;stretch_polyester;viscose;;;;;fleece;;;;;;;dryflight_water-repellent;;;;;;;;;;;;;;;;;;;;;;;;;;;;classic;regular;;;long_sleeve;;pull_through;;;;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04968;roxy;women;adult;clothing;pullover;full_zip;casual;;;;polyester;;;;;;sherpa;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;loose;;;long_sleeve;;snap;pull_through;;chest_pocket;side_pocket;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04969;roxy;women;adult;clothing;pullover;full_zip;casual;;;;polyester;;;;;;sherpa;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;classic;;;long_sleeve;;full_zip;;;chest_pocket;side_pocket;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04970;roxy;women;adult;clothing;pullover;full_zip;casual;;;;polyester;;;;;;sherpa;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;classic;;;long_sleeve;;full_zip;;;chest_pocket;side_pocket;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04971;roxy;women;adult;clothing;pullover;full_zip;casual;;;;stretch_polyester;;;;;;double_knit;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;slim;;;;long_sleeve;;full_zip;;;chest_pocket;side_pocket;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04972;roxy;women;adult;clothing;pullover;fleece;casual;;;;polyester;;;;;;polar_fleece;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;classic;;;long_sleeve;;half_zip;pull_through;;hand_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04973;roxy;women;adult;clothing;pullover;fleece;casual;;;;stretch_polyester;;;;;;waffle;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;pull_through;;;hand_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04974;roxy;women;adult;clothing;pullover;full_zip;casual;;;;stretch_polyester;;;;;;waffle;;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;full_zip;;;hand_pocket;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04996;roxy;women;adult;clothing;pullover;hoodie;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;value;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05004;roxy;women;adult;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05005;roxy;women;adult;clothing;pullover;oversized;casual;;;;cotton_blend;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05006;roxy;women;adult;clothing;pullover;crew;casual;;;;cotton_blend;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05008;roxy;women;adult;clothing;pullover;crew;casual;;;;stretch_modal;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05009;roxy;women;adult;clothing;pullover;hoodie;casual;;;;cotton;;;;;;terry_fleece;;;;;;;;;;;;;;active;;;;;;;;;;;;;;;;;;;;;loose;;;;long_sleeve;;pull_through;;;pouch_pocket;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05010;roxy;women;adult;clothing;pullover;crew;casual;;;;cotton;;;;;;terry_fleece;;;;;;;;;;;;;;active;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05011;roxy;women;adult;clothing;pullover;fleece;casual;;;;cotton;;;;;;terry_fleece;;;;;;;;;;;;;;active;;;;;;;;;;;;;;;;;;;;;boxy;;;;long_sleeve;;half_zip;pull_through;;;;;;;;;collar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05012;roxy;women;adult;clothing;pullover;full_zip;casual;;;;stretch_modal;polyester;;;;;;;;;;;;dryflight;;;;;;;active;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;snap;pull_through;;;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05014;roxy;women;adult;clothing;pullover;full_zip;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;half_zip;pull_through;;;;;;;;;mock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05015;roxy;women;adult;clothing;pullover;fleece;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;boxy;;;;long_sleeve;;pull_through;;;;;;;;;;collar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05016;roxy;women;adult;clothing;pullover;hoodie;casual;;;;cotton_blend;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;pull_through;;;;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05017;roxy;women;adult;clothing;pullover;crew;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT05018;roxy;women;adult;clothing;pullover;crew;casual;;;;cotton;polyester;;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;pull_through;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
