style;division;gender;age;category;parent_type;subtype;activity_use;sustainability;sustainability_certification1;sustainability_certification2;fabric_main1;fabric_main2;fabric_main3;fabric_main4;fabric_main5;fabric_main6;fabric_subtype1;lining1;lining2;lining3;lining4;filling;padding_material;technology1;technology2;technology3;technology4;technology5;technology6;technology7;prod_collection;size;dimension_height1;dimension_length1;dimension_width1;dimension_height2;dimension_length2;dimension_width2;volume1;volume2;backpack_size;number_pocket_bag;straps1;straps2;straps3;straps4;visor;lens_tint1;lens_tint2;lens_tint3;lens_tint4;fit1;fit2;fit3;fit4;sleeve_length;leg_length;closure1;closure2;waist;pocket1;pocket2;pocket3;pocket4;pocket5;dress_length;hood;neck;reversible;denim_wash;print;footwear_height;outsole1;outsole2;insole;sole_type;top_shape1;top_shape2;top_shape3;top_shape4;bottom_shape1;bottom_shape2;bottom_shape3;bottom_shape4;bottom_shape5;bottom_shape6;coverage1;coverage2;bra_impact;padding;uv_protection;wetsuit_type;thickness;water-temp;wetsuit_technology1;wetsuit_technology2;wetsuit_technology3;wetsuit_technology4;wetsuit_seam1;wetsuit_seam2;wetsuit-entry;snow_activity;flex_rating;rocker;insulation_level;insulation_technology1;insulation_technology2;waterproofing_level1;waterproofing_technology1;Lumina Comments
EBYZT00386;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A504500;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;relax;core;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A504502;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;relax;core;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A504504;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;relax;core;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A504510;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;relax;core;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYZT07711;quiksilver;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;basic;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23MS433552;rvca;men;adult;clothing;t-shirt;crew;casual;;;;polyester;cotton;;;;;;;;;;;;dri-release;;;;;;;benjamin_jeanjean;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJKT04342;roxy;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;chloe_kim_signature_collection;;;;;;;;;;;;;;;;;;;;;slim;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00491;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;cropped;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00489;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00490;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00500;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00477;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;Jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;loose;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00478;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;Jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;loose;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00479;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;Jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;loose;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00482;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;Jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;loose;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00483;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;Jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;loose;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00499;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;Jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;loose;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00504;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;Jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;loose;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00505;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;Jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;loose;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00466;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00468;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00473;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00474;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00495;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00497;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00485;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00486;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00488;billabong;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00503;billabong;women;adult;clothing;tank;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;;;;;;regular;;;;sleeveless;;;;;;;;;;;;scoop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23B033504;rvca;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;court_side;;;;;;;;;;;;;;;;;;;;;fitted;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23B043500;rvca;women;adult;clothing;tank;vest;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;court_side;;;;;;;;;;;;;;;;;;;;;fitted;;;;sleeveless;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVYKT00104;rvca;men;adult;clothing;t-shirt;crew;casual;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;dayshift_collection;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVYKT00316;rvca;men;adult;clothing;t-shirt;crew;casual;;;;cotton;polyester;;;;;yarn_dye;;;;;;;;;;;;;;dayshift_collection;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVYKT00345;rvca;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;yarn_dye;;;;;;;;;;;;;;dayshift_collection;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;chest_pocket;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQWZT03200;quiksilver;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;disconnect;;;;;;;;;;;;;;;;;;;;;cropped;standard;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQWKT03197;quiksilver;women;adult;clothing;t-shirt;crew;casual;;;;stretch_cotton;polyester;;;;;;;;;;;;;;;;;;;disconnect;;;;;;;;;;;;;;;;;;;;;fitted;cropped;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVYZT00305;rvca;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;ed_templeton;;;;;;;;;;;;;;;;;;;;;relax;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
