style;color;name;image_url;description;season
UVJKT00240;DKH;UNITED CLASSIC TANK;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjkt00240_dkh.png;Product Type: Tank^Fabric: 95% Cotton 5% Elastane Rib, 280g^Wash: Garment wash with softener^Fit: Sleeveless^Neck: Round Neck^Graphic:Front embroidery^Branded label inserted into the sideseam hem edge;251
UVJKT00242;WHT;ASYM TANK;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjkt00242_wht.png;Product Type: One Shoulder Singlet^Fabric: 95% Cotton 5% Spandex Rib^Weight:280gsm^Fit: Sleeveless^Neck: Asymetrical^Branded flag label in side seam hem edge^Chest Embroidery;251
UVJNP00152;WDR0;STRIPE HUDSON PANT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjnp00152_wdr0.png;Product Type:Wide leg pants^Fabric:90% Cotton, 10% Polyester, 264g^Fit:Loose fit^Fly/Waist:High waist^Elastic back waist. Front darts.;251
UVJNP00153;CAM;MILSPEC STRIPE HOLIDAY PANT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjnp00153_cam.png;Product Type: Pant^Fabric: 55% Cotton, 45% Modal yardage print, 120g^Wash: Garment wash with softener^Fit: Wide leg^Fly/Waist: Elasticated waist with drawstring^Onseam front pockets;251
UVJSW00120;SEW0;WEEKEND CABLE KNIT VEST;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjsw00120_sew0.png;Product Type: Knit Vest^Fabric: 50% Acrylic 50% Cotton^Fit: Relaxed Fit^Neck: V neck^Jacquard stripes. ;251
UVJSW00121;WDR0;IVY RAGLAN SWEATER;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjsw00121_wdr0.png;Product Type: Long Sleeve Sweater^Fabric: 100% Cotton^Fit: Relaxed Fit^Neck: Round neck^Front patch logo;251
UVJWD00214;WPW;BLURRED DITSY GATHERED MIDI;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjwd00214_wpw.png;Product Type: Midi Dress^Fabric: 92% Cotton, 8% Linen, 155g^Wash: heavy enzyme wash^Fit: Slim^Sleeves: Sleeveless^Neck: Round Neck^Adjustable straps^ Gathered waist panels^CF Tie;251
UVJWD00215;WHT;UNDERSTATED MIDI DRESS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjwd00215_wht.png;Product Type: Midi Dress^Fabric: 70% Viscose, 30% Linen, 180g^Fit: Mid length^Sleeves: Short Sleeve^Neck: V Neck^Back waist tie, with button up front and metal badge on back neck;251
UVJWK00150;CMM;WRAPPED CARGO SKIRT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjwk00150_cmm.png;Product Type: Skirt^Fabric: 100% Cotton Twill^Fit: Mini Skirt^Fly/Waist: Invisible zip at side seam^All over camo print^Cargo Pocket Detaiing;251
UVJWO03007;WDR0;STRIPED BOILER SUIT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjwo03007_wdr0.png;Product Type:Boiler suit^Fabric:90% Cotton, 10% Polyester, 264g^Fit:Loose fit^Fastening:Zip front^Elastic back waist^Front darts^Back patch pockets;251
