style;color;name;season;image_url;division;gender;age;category;parent_type;subtype;activity_use;sustainability;description
24a093590;blk;test 275;253;;billabong;men;adult;clothing;shorts;cargo;casual;;"21"" Military style cargo short, 100% light weight cotton twill, 2 x cargo style pockets, one with direct embroidery. back welt pocket flap features onset taping in flag colours, finished with Otis' signature collection artwork as an all over tonal yardage."
24a153502;blk;test 276;253;;billabong;men;adult;clothing;jackets;rain;casual;recycled;Product Type: Recycled Nylon 10K/10K waterproof/breathability jacket.^Additional Features: Snap front closure, sherpa collar, dual chest pockets with snap closure flaps, dual hand zipper pockets with flaps and dual entry, chest label, and adjustable sleeve cuffs. ^Recycled taffeta lined, and recycled insulation.
24a183500;blk;test 277;253;;billabong;men;adult;clothing;jackets;quilted;casual;;Product Type: Poly filled quilted light weight vest.^Additional Features: Zip closure hand pockets, zip chest pocket, internal stow pocket and woven patch on chest. Recycled taffeta lining and recycled insulation.
24a253573;blk;test 278;253;;billabong;men;adult;swim;boardshorts;regular;surf;;"Product type:Boardshorts. Fabric/tech - 1:Surf suede. Fabric/tech. - 2 Micro Repel water repellent coating keeps fabric light and quick drying. Outseam:21"" outseam, below knee. Fit:Elasticated waist fit. Pockets:Side-entry pockets with mesh pocket bags. Pockets: Cargo side pockets with hook & loop closure. The Throw On is the perfect hybird. The rigid boardshort fabric is light and durable, plus its the best length ever made in walkshorts 21"". The elastic waist makes it super comfy, the contrast stitch detail finish the look and the branding hit on the cargo pocket is second to none. Wrap any waist around these and you wont go back to another short until skinny leg jeans and white thongs make a resurgence."
24a253574;blk;test 279;253;;billabong;men;adult;swim;boardshorts;regular;surf;;"Product type:Boardshorts. Fabric^Supreme Surf suede^Micro Repel water repellent coating keeps fabric light and quick drying^Outseam:21""^Fit:Elasticated waist, long leg length, baggy fit^Pockets:Side-entry pockets with mesh pocket bagg, back patch pocket^Cut n Sew panels witrh onset tape^high denisty print word branding."
24a313571;blk;test 280;253;;billabong;men;adult;clothing;pullover;fleece;casual;;350 gsm 80/20 cotton poly fleece, screen print front and back
24a313572;blk;test 281;253;;billabong;men;adult;clothing;pullover;fleece;casual;;Regular fit, mock neck styling, 80/20 cotton poly, heavy weight 420gsm fleece, CF emby, light greay heather colour with Otis trim package.
24a313573;blk;test 282;253;;billabong;men;adult;clothing;pullover;full_zip;casual;;Product Type: Full zip mock neck vest
24a353500;blk;test 283;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a353501;blk;test 284;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a353504;blk;test 285;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a353507;blk;test 286;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a353508;blk;test 287;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, side seam flag label
24a353511;blk;test 288;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;100% Ring spun cotton^Mid Weight 180G 24/1 Jersey^Our regular tees are a true classic fit with relaxed shoulders and a wider neck rib^Front and Back soft hand screen print^Softened with a garment wash^Side seam flag label and interior heat transfer neck label
24a353512;blk;test 289;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product Type :Fabric : yarn-dye stripe cotton jersey^Fit : Premium^Neck : Crew^Graphic : Chest embroidery art.^Trim/Patch : Billabong woven label
24a353513;blk;test 290;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;100% Ring spun cotton - Mid Weight 180G 24/1 Jersey,Our regular tees are a true classic fit with relaxed shoulders and a wider neck rib,Front soft hand screen print,Softened with a garment wash,Side seam flag label and interior heat transfer neck label
24a353514;blk;test 291;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Our regular tees are a true classic fit with relaxed shoulders and a wider neck rib. Front and back soft hand screen print. Softened with a garment wash. Side seam flag label and interior heat transfer neck label.
24a353515;blk;test 292;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product Type :Fabric : yarn-dye stripe cotton jersey^Fit : Premium^Neck : Crew^Graphic : Chest embroidery art.^Trim/Patch : Billabong woven label
24a353516;blk;test 293;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product Type :Fabric : yarn-dye stripe cotton jersey^Fit : Premium^Neck : Crew^Graphic : Chest embroidery art.^Trim/Patch : Billabong woven label
24a353517;blk;test 294;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;100% Ring spun cotton - Mid Weight 180G 24/1 Jersey,Our regular tees are a true classic fit with relaxed shoulders and a wider neck rib,Front soft hand screen print,Softened with a garment wash,Side seam flag label and interior heat transfer neck label
24a353518;blk;test 295;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: OG Fit Conventional 20/1, 210g long sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353519;blk;test 296;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: OG Fit Conventional 20/1, 210g long sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353521;blk;test 297;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Part of the Ty William Billabong gallery collection^Product type: Regular Fit Conventional 24/1, 180g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353522;blk;test 298;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Part of the Ty William Billabong gallery collection^Product type: Regular Fit Conventional 24/1, 180g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353523;blk;test 299;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Part of the Ty William Billabong gallery collection^Product type: Regular Fit Conventional 24/1, 180g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353527;blk;test 300;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: OG Fit Conventional 20/1, 210g long sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353573;blk;test 301;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Part of the Spec73 collection^Product type: OG Fit Conventional 20/1, 210g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a353574;blk;test 302;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: OG Fit Conventional 20/1, 210g long sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label, Spec trim pack
24a353576;blk;test 303;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Part of the Spec73 collection^Product type: OG Fit Conventional 20/1, 210g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a363503;blk;test 304;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Regular Fit Conventional 24/1, 180g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a411507;blk;test 305;253;;billabong;men;adult;clothing;pullover;fleece;casual;;Product Type:Half zip mock neck pullover^Additional Features:300gsm printed polar fleece. Zippered chest pocket. Elastic bungee cinch closure at waistband. Adventure Division logo labels.
24a413503;blk;test 306;253;;billabong;men;adult;clothing;pullover;fleece;casual;recycled;Product Type:Half zip^Additional Features: polar fleece. Contrast Ripstop at top yoke. Elastic bungee cinch closure at waistband. Adventure Division logo labels.
24a413504;blk;test 307;253;;billabong;men;adult;clothing;pullover;fleece;casual;recycled;Product Type:Half zip mock neck pullover^Additional Features:300gsm printed polar fleece. Zippered chest pocket. Elastic bungee cinch closure at waistband. Adventure Division logo labels.
24a413505;blk;test 308;253;;billabong;men;adult;clothing;pullover;hoodie;casual;;Part of the Spec73 collection^Product Type : Pullover sweatshirt^Fabric: Heavy weight 80%Cotton 20%Polyester blend^Cut and sew with pipping details^Branding on chest and sleeves.
24a413506;blk;test 309;253;;billabong;men;adult;clothing;fleece_polar;hoodie;casual;;Part of the Ty William Billabong gallery collection^Product Type : Pull over sweatshirt^Fabric : 60% COTTON / 40% POLYESTER^Fit : Core^Screen printed art on front and back, flag woven label at bottom hem
24a433590;blk;test 310;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: OG Fit Conventional. 20/1, 210g short sleeve tee. Additional features: Softhand screen print, heat seal neck label, side seam flag label, Otis Carey trim package.
24a433592;blk;test 311;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: OG Fit Conventional. 20/1, 210g short sleeve tee. Additional features: Softhand screen print, heat seal neck label, side seam flag label, Otis Carey trim package.
24a433594;blk;test 312;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: OG Fit Conventional. 20/1, 210g short sleeve tee. Additional features: Softhand screen print, heat seal neck label, side seam flag label, Otis Carey trim package.
24a462503;blk;test 313;253;;billabong;men;adult;clothing;pullover;crew;casual;;Product Type: Crew Neck. Additional Features: 280gsm solid fleece with screen print at chest and back. Extra wash for soft hand feel.
24a463504;blk;test 314;253;;billabong;men;adult;clothing;fleece_polar;fleece;casual;;Part of the Ty William Billabong gallery collection^Product Type : Core fit crew sweatshirt^Fabric : 60% COTTON / 40% POLYESTER^Fit : Core^Screen printed art on front and back, flag woven label at bottom hem
24a481502;blk;test 315;253;;billabong;men;adult;clothing;pullover;full_zip;casual;recycled;Product Type:Full zip^Additional Features:240gsm polar fleece. Contrast Ripstop at top yoke and hood. Woven Wave pattern Jacquard Tape at chest. Elastic bungee cinch closure at waistband. Front hand pockets. Adventure Division logo labels.
24a503501;blk;test 316;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;100% Organic cotton - Light weight 160G 26/1 Jersey,Our premium tees offer a timeless, comfortable core fit,Front and sleeve soft hand screen print,Softened with a garment wash,Side seam flag label and interior heat transfer neck label
24a503503;blk;test 317;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;100% Organic cotton - Light weight 160G 26/1 Jersey,Our premium tees offer a timeless, comfortable core fit,Front and sleeve soft hand screen print,Softened with a garment wash,Side seam flag label and interior heat transfer neck label
24a503505;blk;test 318;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Organic 26/1, 160g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a503506;blk;test 319;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Organic 26/1, 160g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a503507;blk;test 320;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: OG Fit^Organic Cotton, 210g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a523501;blk;test 321;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Premium 26/1, 160g short sleeve tee^Wave wash for a vintage look and feel^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a523502;blk;test 322;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Premium 26/1, 160g short sleeve tee^Wave wash for a vintage look and feel^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a523503;blk;test 323;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: Premium 26/1, 160g short sleeve tee. Wave Washed for a lived-in look and a buttery soft hand feel. Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label.
24a551501;blk;test 324;253;;billabong;men;adult;accessories;cap;trucker;active;;Product Type : Medium profile unstructured 5 panel trucker with demi curved brim.^Additional Features :Front seasonal embroidery and patch, back woven label^Fabric: 71% Polyester / 29% Cotton
24a551506;blk;test 325;253;;billabong;men;adult;accessories;cap;trucker;active;;Product Type : Medium profile unstructured 5 panel trucker with demi curved brim.^Additional Features :Front seasonal embroidery and patch, back woven label^Fabric: 71% Polyester / 29% Cotton
24a551511;blk;test 326;253;;billabong;men;adult;accessories;cap;snapback;active;;Product Type: Medium profile unstructured 5 panel snapback with demi curve brim and adjustable plastic snap closure^Additional Features: Front seasonal artwork and back woven flag label. Moisture wicking sweatband.^Fabric:100% cotton.
24a551512;blk;test 327;253;;billabong;men;adult;accessories;cap;strapback;active;;Product Type: 6-panel snapback hat with logo embroidery on center front crown. ^Additional Features: Woven flag label on back and brim is demi curve^Fabric: Cotton Corduroy
24a553503;blk;test 328;253;;billabong;men;adult;accessories;cap;strapback;active;;Medium profile 6 panel unstructured strapback.^Flat brim.^Self fabric strap with slim metal tri-glide buckle.^Arch flag label.^Embroidered artwork.^Brushed cotton canvas with wash for vintage look and feel.^Contrasted stitching.
24a553504;blk;test 329;253;;billabong;men;adult;accessories;cap;trucker;active;;Part of Ty William Billabong gallery collection.^Medium profile 5 panel unstructured trucker.^Demi curve bill.^plastic strap closure.^Corduroy fabric on crown and visor.^woven patch feature Ty William art.
24a583504;blk;test 330;253;;billabong;men;adult;accessories;beanie;cuff;snow;;Product Type:Standard fit beanie with fully fashioned cuff^Additional Features: Woven patch branding on cuff.^Fabric: 60% Recyled Polyester 40% Acyrlic
24aw191501;blk;test 331;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;Product type:Revolution Pro^^Exterior Fabric Type:Upcycler Airlite 4D & Upcycler Pro stretch combined^^Neoprene Foam Type:LEVITATION LIGHT RUBBER^^Interior Fabric Type:Graphene Comp - Graphene infuzed recycled fibers knitted to stretch^^Body type: Long Sleeve Fullsuit^^Thickness: 403mm^^ Entry System: Chest Zip^^Exterior Seam Detail:Stitchless Seams
24aw191502;blk;test 332;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;Product type:Revolution Pro^^Exterior Fabric Type:Upcycler Airlite 4D & Upcycler Pro stretch combined^^Neoprene Foam Type:LEVITATION LIGHT RUBBER^^Interior Fabric Type:Graphene Comp - Graphene infuzed recycled fibers knitted to stretch^^Body type: Long Sleeve Fullsuit^^Thickness: 504mm^^ Entry System: Chest Zip^^Exterior Seam Detail:Stitchless Seams
24aw193501;blk;test 333;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;"Product type:Furnace Natural^Exterior Fabric Type: AIRLITE 4D - 20% more stretch, 100% upcycled ^Foam Type: Natural rubber blend - made from 85% natural rubber and 15% synthetic additives composed of upcycled BolderBlack and soybean oil; 100% neoprene free^Interior Fabric Type:Graphene combined with Graphene Comp^Body type:Long Sleeve Full suit^Thickness: 403mm^Entry System: Chest Zip^Exterior Seam Detail: Power welded seams^Internal Seam Detail: Machine Applied Super-flex neo tape"
24aw193502;blk;test 334;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;"Product type:Furnace Natural^Exterior Fabric Type: AIRLITE 4D - 20% more stretch, 100% upcycled ^Foam Type: Natural rubber blend - made from 85% natural rubber and 15% synthetic additives composed of upcycled BolderBlack and soybean oil; 100% neoprene free^Interior Fabric Type:Graphene combined with Graphene Comp^Body type:Long Sleeve Full suit^Thickness: 504mm^Entry System: Chest Zip^Exterior Seam Detail: Power welded seams^Internal Seam Detail: Machine Applied Super-flex neo tape"
24aw193512;blk;test 335;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;"Product type:Revolution Natural^Exterior Fabric Type:UPCYCLER Airlite Stretch Body combined with Airlite 4D limbs using upcycled fibers throughout^Foam Type: Natural rubber blend - made from 85% natural rubber and 15% synthetic additives composed of upcycled BolderBlack and soybean oil; 100% neoprene free^Interior Fabric Type:Graphene Comp - Graphene infuzed recycled fibers knitted to stretch^Body type: Long Sleeve Full suit^Thickness: 403mm^Entry System: Chest Zip^Exterior Seam Detail: GBS^Internal Seam Detail: Machine Applied Super-flex neo tape"
24aw193516;blk;test 336;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;"Product type:Oscillator Natural from the Occy Collection - RESPECT THE PAST, REPRESENT THE FUTURE^Exterior Fabric Type: UPCYCLER Pro Stretch; 100% post-consumer upcycled textiles^Foam Type: Sustainably sourced natural rubber blend - FSC certified; made from 85% natural rubber and 15% synthetic additives composed of upcycled BolderBlack and soybean oil; 100% neoprene free^Interior Fabric Type:Graphene combined with recycled Silicon Stretch^Body type: Long Sleeve Full suit^Thickness: 403mm^Entry System: Chest Zip^Exterior Seam Detail: GBS^Internal Seam Detail: Machine Applied Super-flex neo tape"
24aw193525;blk;test 337;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;"Product type:Absolute Natural^Exterior Fabric Type: UPCYCLER Pro Stretch; 100% post-consumer upcycled textiles^Foam Type: Sustainably sourced natural rubber blend - FSC certified; made from 85% natural rubber and 15% synthetic additives composed of upcycled BolderBlack and soybean oil; 100% neoprene free^Interior Fabric Type:Graphene combined with recycled Silicon Stretch^Body type:Long Sleeve Full suit^Thickness: 403mm^Entry System: Chest zip^Exterior Seam Detail: GBS^Internal Seam Detail: 100% super-flex neo tape on the entire inside"
24aw193526;blk;test 338;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;"Product type:Absolute Natural^Exterior Fabric Type: UPCYCLER Pro Stretch; 100% post-consumer upcycled textiles^Foam Type: Sustainably sourced natural rubber blend - FSC certified; made from 85% natural rubber and 15% synthetic additives composed of upcycled BolderBlack and soybean oil; 100% neoprene free^Interior Fabric Type:Graphene combined with recycled Silicon Stretch^Body type:Long Sleeve Full suit^Thickness: 504mm^Entry System: Chest zip^Exterior Seam Detail: GBS^Internal Seam Detail: 100% super-flex neo tape on the entire inside"
24aw211500;blk;test 339;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;
24aw211502;blk;test 340;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;
24aw211503;blk;test 341;253;;billabong;men;adult;surf;wetsuit;fullsuit;surf;;
24aw251500;blk;test 342;253;;billabong;men;adult;surf;wetsuit;springsuit;surf;;
24b013504;blk;test 343;253;;billabong;women;adult;clothing;top;crew;casual;;95% Cotton 5% elastane rib jersey^Fitted baby tee, Crew neckline^Cap sleeve with contrast binding^Embroidery at front chest^
24b023504;blk;test 344;253;;billabong;women;adult;clothing;tank;crew;casual;;Product Type: Fitted wave block tank^Fabric: 94% Cotton 6% Spandex Rib, Piece dye with garment wash^Fit: Fitted crop^Neck:Scoop neck^Details: soft handfeel print.
24b043502;blk;test 345;253;;billabong;women;adult;clothing;top;denim;casual;;100% cotton, cotton denim^Crop top^Body skimming fit^V-neck, button closure at front^Woven sew down label^^^^^
24b043572;blk;test 346;253;;billabong;women;adult;clothing;shirt;button_up;casual;;Product Type: Button down shirt^Fabric: 100% Viscose ^Fit: Oversized fit^Sleeves: Short sleeves^Closure/Neck: Button down closure^Branding: Metal Plate^Print on sleeves
24b053501;blk;test 347;253;;billabong;women;adult;clothing;shirt;button_up;casual;;Button down shirt^100% cotton 8w corduroy^Oversized fit^Long sleeves, button down closure, patch pockets at front^Metal plate.
24b053502;blk;test 348;253;;billabong;women;adult;clothing;shirt;button_up;casual;;Button down shirt^100% cotton, cotton denim^Oversized fit^Long sleeves, button down closure, patch pockets at front^Woven sew down label.
24b053503;blk;test 349;253;;billabong;women;adult;clothing;top;crew;casual;;Product Type: Fitted top with all over smocking^Fabric: Cotton elastane checks^Fit: Fitted bodice^Boat neckline, Long sleeves^Branding: Metal plate.
24b053504;blk;test 350;253;;billabong;women;adult;clothing;shirt;shacket;casual;;"Relaxed fit shacket^100% cotton^center front length 23 1/2"","
24b053505;blk;test 351;253;;billabong;women;adult;clothing;shirt;flannel;casual;;Button down shirt^100% cotton yarn dye flannel^Oversized fit^
24b073500;blk;test 352;253;;billabong;women;adult;clothing;pullover;crew;casual;;100% Cotton slub yarns^Sweater vest^Front button placket^V neckline^Metal plate^^^^^
24b073502;blk;test 353;253;;billabong;women;adult;clothing;pullover;crew;casual;;Oversized sweater^53% Cotton, 30% acrylic, 17% nylon open stitch weave^crew neckline^Metal plate.
24b073506;blk;test 354;253;;billabong;women;adult;clothing;pullover;crew;casual;;Product Type: Cozy pullover sweater^Fabric: 60% Cotton 40% acrylic jacquard^Fit: Relax^Neck: Rib crew neck^Branding: Metal logo bar.
24b073509;blk;test 355;253;;billabong;women;adult;clothing;pullover;crew;casual;;Relaxed fit cardigan^60% Cotton 40% acrylic wave stitch^crew neckline^
24b073512;blk;test 356;253;;billabong;women;adult;clothing;pullover;crew;casual;;Relaxed fit sweater^100% Acrylic space dye stripe^Wide neckline^metal plate.
