style;division;gender;category;parent_type;subtype_1;subtype_2;subtype_3;subtype_4;activity_use_1;activity_use_2;activity_use_3;age;sustainability_1;sustainability_2;sustainability_3;sustainability_certification;fabric_main_1;fabric_main_2;fabric_main_3;fabric_main_4;fabric_main_5;fabric_subtype;lining_1;lining_2;lining_3;filling;padding_material;technology_1;technology_2;technology_3;technology_4;technology_5;technology_6;prod_collection;size;dimension_height;dimension_length;dimension_width;volume;backpack_size;number_pocket_bag;straps_1;straps_2;straps_3;straps_4;straps_5;visor;lens_tint_1;lens_tint_2;fit_1;fit_2;fit_3;sleeve_length;leg_length;closure;waist;pocket_1;pocket_2;pocket_3;pocket_4;pocket_5;pocket_6;pocket_7;dress_length;hood;neck;reversible;denim_wash;print;footwear_height;outsole;insole;sole_type;top_shape_1;top_shape_2;top_shape_3;top_shape_4;top_shape_5;bottom_shape_1;bottom_shape_2;bottom_shape_3;bottom_shape_4;coverage_1;coverage_2;bra_impact;padding;uv_protection;wetsuit_type;thickness;water-temp;wetsuit_technology_1;wetsuit_technology_2;wetsuit_technology_3;wetsuit_seam_1;wetsuit_seam_2;wetsuit-entry;snow_activity;flex_rating;rocker;insulation_level;insulation_technology;waterproofing_level;waterproofing_technology;Lumina Comments
24A351524;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351526;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351527;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351528;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351530;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;original;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351531;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;warped;;;;;;;;;;;;;;;;original;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351532;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;warped;;;;;;;;;;;;;;;;original;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351535;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;ty_williams;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351536;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;ty_williams;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351537;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;ty_williams;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351538;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;ty_williams;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351540;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351541;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;bong;;;;;;;;;;;;;;;;original;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351542;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;bong;;;;;;;;;;;;;;;;original;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351543;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;original;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A361500;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;original;;;long_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A361501;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A361502;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A361504;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;organic;;;;cotton;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;regular;;;long_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A501539;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;organic;;;;cotton;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A501540;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;organic;;;;cotton;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A501541;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;organic;;;;cotton;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A501543;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;organic;;;;cotton;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A501545;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;organic;;;;cotton;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A501546;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;organic;;;;cotton;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;original;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A521515;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A521516;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A521518;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A521519;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A521521;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A521533;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;original;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBBZT00146;billabong;boys;clothing;t-shirt;crew;;;;casual;;;8-16_years;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBBZT00174;billabong;boys;clothing;t-shirt;crew;;;;casual;;;8-16_years;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJSF00164;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00405;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00406;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00407;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00408;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00409;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;jersey;;;;;;;;;;;;core;;;;;;;;;;;;;;;;loose;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00411;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;jersey;;;;;;;;;;;;core;;;;;;;;;;;;;;;;loose;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00412;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;jersey;;;;;;;;;;;;core;;;;;;;;;;;;;;;;loose;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00413;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;jersey;;;;;;;;;;;;core;;;;;;;;;;;;;;;;loose;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00414;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;jersey;;;;;;;;;;;;core;;;;;;;;;;;;;;;;loose;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00415;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;jersey;;;;;;;;;;;;core;;;;;;;;;;;;;;;;loose;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00416;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00417;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00419;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00420;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00421;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00422;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00423;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00424;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00425;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00426;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00427;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00428;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00431;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;long_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00432;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00433;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;long_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00434;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00435;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00436;billabong;women;clothing;t-shirt;hoodie;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;long_sleeve;;;;;;;;;;;;;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00437;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;jersey;;;;;;;;;;;;core;;;;;;;;;;;;;;;;loose;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00438;billabong;women;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00440;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJZT00443;billabong;women;clothing;t-shirt;crew;;;;casual;beach;;adult;;;;;cotton;;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYKT00109;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;jacquard;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYZT00290;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;burleigh;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYZT00295;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYZT00297;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;organic;;;;cotton;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYZT00299;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;organic;;;;cotton;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYZT00355;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELBKT00113;element;boys;clothing;t-shirt;crew;;;;casual;;;8-16_years;organic;;;;cotton;;;;;jersey;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELBKT00114;element;boys;clothing;t-shirt;crew;;;;casual;;;8-16_years;organic;;;;cotton;;;;;jersey;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;chest_pocket;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
