pattern;color;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20
edybp00009;bqr0;dcshoes;edybp00009_backupbasic,v_bqr0_frt1.jpg;edybp00009_backupbasic,v_bqr0_frt2.jpg;edybp00009_backupbasic,v_bqr0_frt3.jpg;edybp00009_backupbasic,v_bqr0_bck1.jpg;;;;;;;;;;;;;;;;
edybp00009;kvj0;dcshoes;edybp00009_backupbasic,v_kvj0_frt1.jpg;edybp00009_backupbasic,v_kvj0_frt2.jpg;edybp00009_backupbasic,v_kvj0_frt3.jpg;edybp00009_backupbasic,v_kvj0_bck1.jpg;;;;;;;;;;;;;;;;
edybp00010;brg7;dcshoes;edybp00010_sevenpoint5,v_brg7_frt1.jpg;edybp00010_sevenpoint5,v_brg7_frt2.jpg;edybp00010_sevenpoint5,v_brg7_frt3.jpg;edybp00010_sevenpoint5,v_brg7_bck1.jpg;;;;;;;;;;;;;;;;
edybp00010;gnm0;dcshoes;edybp00010_sevenpoint5,v_gnm0_frt1.jpg;edybp00010_sevenpoint5,v_gnm0_frt2.jpg;edybp00010_sevenpoint5,v_gnm0_frt3.jpg;edybp00010_sevenpoint5,v_gnm0_frt4.jpg;edybp00010_sevenpoint5,v_gnm0_bck1.jpg;;;;;;;;;;;;;;;
edybp00010;rsl0;dcshoes;edybp00010_sevenpoint5,v_rsl0_frt1.jpg;edybp00010_sevenpoint5,v_rsl0_frt2.jpg;edybp00010_sevenpoint5,v_rsl0_frt3.jpg;edybp00010_sevenpoint5,v_rsl0_bck1.jpg;;;;;;;;;;;;;;;;
edybp00012;kvj2;dcshoes;edybp00012_nelstoneprint,v_kvj2_frt1.jpg;edybp00012_nelstoneprint,v_kvj2_frt2.jpg;edybp00012_nelstoneprint,v_kvj2_frt3.jpg;edybp00012_nelstoneprint,v_kvj2_frt4.jpg;edybp00012_nelstoneprint,v_kvj2_bck1.jpg;;;;;;;;;;;;;;;
edybp00012;tky1;dcshoes;edybp00012_nelstoneprint,v_tky1_frt1.jpg;edybp00012_nelstoneprint,v_tky1_frt2.jpg;edybp00012_nelstoneprint,v_tky1_frt3.jpg;edybp00012_nelstoneprint,v_tky1_frt4.jpg;edybp00012_nelstoneprint,v_tky1_bck1.jpg;;;;;;;;;;;;;;;
edybp00013;ctk1;dcshoes;edybp00013_sevenpoint5print,v_ctk1_frt1.jpg;edybp00013_sevenpoint5print,v_ctk1_frt2.jpg;edybp00013_sevenpoint5print,v_ctk1_frt3.jpg;edybp00013_sevenpoint5print,v_ctk1_frt4.jpg;edybp00013_sevenpoint5print,v_ctk1_bck1.jpg;;;;;;;;;;;;;;;
edybp00014;tky0;dcshoes;edybp00014_backupbasicprint,v_tky0_frt1.jpg;edybp00014_backupbasicprint,v_tky0_frt2.jpg;edybp00014_backupbasicprint,v_tky0_frt3.jpg;edybp00014_backupbasicprint,v_tky0_bck1.jpg;;;;;;;;;;;;;;;;
edybp00019;btk0;dcshoes;edybp00019_crafter15,v_btk0_frt1.jpg;edybp00019_crafter15,v_btk0_frt2.jpg;edybp00019_crafter15,v_btk0_frt3.jpg;edybp00019_crafter15,v_btk0_frt4.jpg;;;;;;;;;;;;;;;;
edybp00019;gre6;dcshoes;edybp00019_crafter15,v_gre6_frt1.jpg;edybp00019_crafter15,v_gre6_frt2.jpg;edybp00019_crafter15,v_gre6_frt3.jpg;edybp00019_crafter15,v_gre6_frt4.jpg;edybp00019_crafter15,v_gre6_bck1.jpg;;;;;;;;;;;;;;;
edybp00020;btk0;dcshoes;edybp00020_sender15,v_btk0_frt1.jpg;edybp00020_sender15,v_btk0_frt2.jpg;edybp00020_sender15,v_btk0_frt3.jpg;edybp00020_sender15,v_btk0_frt4.jpg;edybp00020_sender15,v_btk0_frt5.jpg;edybp00020_sender15,v_btk0_bck1.jpg;;;;;;;;;;;;;;
edybp00020;gre6;dcshoes;edybp00020_sender15,v_gre6_frt1.jpg;edybp00020_sender15,v_gre6_frt2.jpg;edybp00020_sender15,v_gre6_frt3.jpg;edybp00020_sender15,v_gre6_frt4.jpg;edybp00020_sender15,v_gre6_frt5.jpg;edybp00020_sender15,v_gre6_bck1.jpg;;;;;;;;;;;;;;
edybp03156;byj7;dcshoes;edybp03156_backstackprint,p_byj7_frt1.jpg;edybp03156_backstackprint,p_byj7_frt2.jpg;edybp03156_backstackprint,p_byj7_bck1.jpg;edybp03156_backstackprint,p_byj7_bck2.jpg;;;;;;;;;;;;;;;;
edybp03173;nnw0;dcshoes;edybp03173_dcshoes,p_nnw0_frt1.jpg;edybp03173_dcshoes,p_nnw0_frt2.jpg;edybp03173_dcshoes,p_nnw0_bck1.jpg;edybp03173_dcshoes,p_nnw0_bck2.jpg;edybp03173_dcshoes,p_nnw0_bck3.jpg;edybp03173_dcshoes,p_nnw0_bck4.jpg;;;;;;;;;;;;;;
edybp03176;bqr0;dcshoes;edybp03176_dcshoes,p_bqr0_frt1.jpg;edybp03176_dcshoes,p_bqr0_frt2.jpg;edybp03176_dcshoes,p_bqr0_bck1.jpg;edybp03176_dcshoes,p_bqr0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03176;crb0;dcshoes;edybp03176_dcshoes,p_crb0_frt1.jpg;edybp03176_dcshoes,p_crb0_frt2.jpg;edybp03176_dcshoes,p_crb0_bck1.jpg;edybp03176_dcshoes,p_crb0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03176;knfh;dcshoes;edybp03176_dcshoes,p_knfh_frt1.jpg;edybp03176_dcshoes,p_knfh_frt2.jpg;edybp03176_dcshoes,p_knfh_bck1.jpg;edybp03176_dcshoes,p_knfh_bck2.jpg;;;;;;;;;;;;;;;;
edybp03176;kvj0;dcshoes;edybp03176_dcshoes,p_kvj0_frt1.jpg;edybp03176_dcshoes,p_kvj0_frt2.jpg;edybp03176_dcshoes,p_kvj0_bck1.jpg;edybp03176_dcshoes,p_kvj0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03176;rrp6;dcshoes;edybp03176_dcshoes,p_rrp6_frt1.jpg;edybp03176_dcshoes,p_rrp6_bck1.jpg;;;;;;;;;;;;;;;;;;
