pattern;color;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20;;;;;
24a081616;bwh;billabong;24a081616_billabong,f_bwh_frt1.jpg;24a081616_billabong,f_bwh_bck1.jpg;24a081616_billabong,w_bwh_frt1.jpg;24a081616_billabong,w_bwh_sd1.jpg;24a081616_billabong,w_bwh_bck1.jpg;24a081616_billabong,w_bwh_dtl1.jpg;24a081616_billabong,w_bwh_dtl2.jpg;;;;;;;;;;;;;;;;;;
24a081616;roy;billabong;24a081616_billabong,f_roy_frt1.jpg;24a081616_billabong,f_roy_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;;
24a081616;xkkw;billabong;24a081616_billabong,f_xkkw_frt1.jpg;24a081616_billabong,f_xkkw_bck1.jpg;24a081616_billabong,w_xkkw_frt1.jpg;24a081616_billabong,w_xkkw_sd1.jpg;24a081616_billabong,w_xkkw_bck1.jpg;24a081616_billabong,w_xkkw_dtl1.jpg;24a081616_billabong,w_xkkw_dtl2.jpg;;;;;;;;;;;;;;;;;;
24a081622;amo;billabong;24a081622_billabong,f_amo_frt1.jpg;24a081622_billabong,f_amo_bck1.jpg;24a081622_billabong,w_amo_frt1.jpg;24a081622_billabong,w_amo_sd1.jpg;24a081622_billabong,w_amo_bck1.jpg;24a081622_billabong,w_amo_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081622;dkd;billabong;24a081622_billabong,f_dkd_frt1.jpg;24a081622_billabong,f_dkd_bck1.jpg;24a081622_billabong,w_dkd_frt1.jpg;24a081622_billabong,w_dkd_sd1.jpg;24a081622_billabong,w_dkd_bck1.jpg;24a081622_billabong,w_dkd_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081630;mlt1;billabong;24a081630_billabong,f_mlt1_frt1.jpg;24a081630_billabong,f_mlt1_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;;
24a081680;blk;billabong;24a081680_billabong,f_blk_frt1.jpg;24a081680_billabong,f_blk_bck1.jpg;24a081680_billabong,w_blk_frt1.jpg;24a081680_billabong,w_blk_sd1.jpg;24a081680_billabong,w_blk_bck1.jpg;24a081680_billabong,w_blk_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081681;blk;billabong;24a081681_billabong,f_blk_frt1.jpg;24a081681_billabong,f_blk_bck1.jpg;24a081681_billabong,w_blk_frt1.jpg;24a081681_billabong,w_blk_sd1.jpg;24a081681_billabong,w_blk_bck1.jpg;24a081681_billabong,w_blk_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a101603;xcck;billabong;24a101603_billabong,f_xcck_frt1.jpg;24a101603_billabong,f_xcck_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;;
24a101604;blk;billabong;24a101604_billabong,f_blk_frt1.jpg;24a101604_billabong,f_blk_bck1.jpg;24a101604_billabong,w_blk_frt1.jpg;24a101604_billabong,w_blk_sd1.jpg;24a101604_billabong,w_blk_bck1.jpg;24a101604_billabong,w_blk_dtl1.jpg;24a101604_billabong,w_blk_dtl2.jpg;;;;;;;;;;;;;;;;;;
